Level 0 to 98 level-up costs
00, 0
10, 3
20, 3
30, 3
40, 3
50, 3
60, 3
70, 3
80, 3
90, 3
100, 3
110, 3
120, 3
130, 3
140, 3
150, 3
160, 3
170, 3
180, 3
190, 4
200, 4
210, 4
220, 4
230, 4
240, 4
250, 4
260, 4
270, 4
280, 4
290, 4
300, 4
310, 4
320, 4
330, 4
340, 4
350, 4
360, 4
370, 4
380, 4
390, 5
400, 5
410, 5
420, 5
430, 5
440, 5
450, 5
460, 5
470, 5
480, 5
490, 5
500, 5
510, 5
520, 5
530, 5
540, 5
550, 5
560, 5
570, 5
580, 5
590, 6
600, 6
610, 6
620, 6
630, 6
640, 6
650, 6
660, 6
670, 6
680, 6
690, 6
700, 6
710, 6
720, 6
730, 6
740, 6
750, 6
760, 6
770, 6
780, 6
790, 7
800, 7
810, 7
820, 7
830, 7
840, 7
850, 7
860, 7
870, 7
880, 7
890, 7
900, 7
910, 7
920, 7
930, 7
940, 7
950, 7
960, 7
970, 7
980, 7
